Scenario,order_size_mean,limit_price_decay_rate,mm_base_spread,n_rep,avg_spread_mean,avg_spread_CI95_lower,avg_spread_CI95_upper,price_volatility_mean,price_volatility_CI95_lower,price_volatility_CI95_upper,depth_within_5_ticks_mean,depth_within_5_ticks_CI95_lower,depth_within_5_ticks_CI95_upper,mm_final_pnl_per_1k_trades_mean,mm_final_pnl_per_1k_trades_CI95_lower,mm_final_pnl_per_1k_trades_CI95_upper,mm_final_inventory_mean,mm_final_inventory_CI95_lower,mm_final_inventory_CI95_upper,mm_realized_spread_mean,mm_realized_spread_CI95_lower,mm_realized_spread_CI95_upper
S17,1.0,0.3,0.25,5,0.6156816956723734,0.6085174668487552,0.6228459244959916,5.940268278804691e-07,5.581047623331285e-07,6.299488934278097e-07,0.0,0.0,0.0,81.8947575149352,78.95295581735384,84.83655921251655,-0.8,-2.160174761316514,0.5601747613165138,-0.194724043975545,-0.1983816327243881,-0.1910664552267019
S18,1.0,0.3,0.5,5,0.7447094437829047,0.7380737850086496,0.7513451025571598,7.483335463946005e-07,7.208349708993889e-07,7.758321218898121e-07,0.0,0.0,0.0,136.06382196942576,132.77369304754578,139.35395089130574,0.2,-2.6314295539645496,3.03142955396455,-0.3563003731828039,-0.3588540386944791,-0.3537467076711287
S19,1.0,0.3,1.0,5,0.9123275954637527,0.904556880831998,0.9200983100955076,1.435036846089021e-06,1.3730427001601368e-06,1.497030992017905e-06,0.0,0.0,0.0,165.704845627436,163.88420435600045,167.52548689887152,3.8,-1.569389291059207,9.169389291059208,-0.5081517985557025,-0.5158909518274806,-0.5004126452839244
S2,1.0,0.05,0.25,5,3.043343420634936,2.990752486938628,3.095934354331244,2.431288112846369e-05,1.850453309499688e-05,3.01212291619305e-05,0.0,0.0,0.0,93.78278209642464,76.66091635083252,110.90464784201671,4.2,-6.128972859046882,14.52897285904688,-0.0159910554334428,-0.0362431933334945,0.0042610824666087
S20,1.0,0.3,2.0,5,1.0794416425578095,1.061107856563971,1.0977754285516477,2.5594203049200044e-06,2.347904458039454e-06,2.770936151800555e-06,0.0,0.0,0.0,140.98757463992857,134.2152603866568,147.75988889320033,4.2,-10.710311588145276,19.11031158814528,-0.6299026139469825,-0.6483983058302438,-0.6114069220637213
S21,1.0,0.5,0.1,5,0.3514395693811417,0.3455407315502199,0.3573384072120635,2.697900176280839e-07,2.479656455242103e-07,2.916143897319576e-07,0.4,-0.7105780420791198,1.51057804207912,31.1518036519907,29.780030339530462,32.52357696445093,-0.6,-2.015714776982275,0.8157147769822749,-0.0718741704005186,-0.073652500959717,-0.0700958398413202
S22,1.0,0.5,0.25,5,0.4193293894855318,0.4137170973401829,0.4249416816308806,2.514099254285966e-07,2.361185788629411e-07,2.667012719942521e-07,0.0,0.0,0.0,66.6775860736386,64.29994162007485,69.05523052720234,-0.6,-5.042312168316477,3.842312168316477,-0.1770925416920654,-0.1794167272489853,-0.1747683561351454
S23,1.0,0.5,0.5,5,0.5133189244641629,0.5110735932699783,0.5155642556583476,4.206111911300118e-07,4.105954950916523e-07,4.306268871683713e-07,0.0,0.0,0.0,89.12632928212233,88.22255244968542,90.03010611455923,3.2,0.2355678349333798,6.1644321650666205,-0.2714086849179908,-0.2742724355394721,-0.2685449342965096
S24,1.0,0.5,1.0,5,0.6200636963396386,0.612290936558927,0.6278364561203503,8.006672562028659e-07,7.642503417815249e-07,8.370841706242069e-07,0.0,0.0,0.0,87.73926765078261,85.53505629383038,89.94347900773484,4.0,-5.250188451386418,13.250188451386418,-0.3565077491740145,-0.3634739893484666,-0.3495415089995625
S25,1.0,0.5,2.0,5,0.6851541241643039,0.671891807042207,0.6984164412864008,1.1234291877693393e-06,1.0459144083626269e-06,1.2009439671760515e-06,0.0,0.0,0.0,37.779666649318365,29.867256612899247,45.69207668573748,3.6,-15.304308886920916,22.50430888692092,-0.3775175280324078,-0.4006880393033859,-0.3543470167614296
S26,5.0,0.05,0.1,5,3.7508267877456687,3.619902302990168,3.8817512725011696,4.9320830172919e-05,3.6399303384121565e-05,6.224235696171643e-05,0.0,0.0,0.0,10.708698253712017,4.12004817707032,17.297348330353714,1.6,-17.486924245987783,20.686924245987782,0.0565786510891638,-0.0109660209279252,0.1241233231062529
S27,5.0,0.05,0.25,5,3.819743227243842,3.7259285100456583,3.913557944442025,4.756027947554663e-05,3.703675960326489e-05,5.8083799347828366e-05,0.0,0.0,0.0,22.282133180180768,14.331342282549825,30.232924077811717,5.6,-17.77166567310617,28.97166567310617,-0.0810198121495306,-0.1207271427216008,-0.0413124815774605
S28,5.0,0.05,0.5,5,3.929704286766077,3.838363252972152,4.0210453205600025,4.596809974827115e-05,3.740706374059672e-05,5.452913575594558e-05,0.0,0.0,0.0,40.42790700619382,31.852759293815044,49.0030547185726,3.2,-17.80578440443015,24.205784404430148,-0.3056493991109917,-0.3435844547905201,-0.2677143434314634
S29,5.0,0.05,1.0,5,4.139894198325753,4.100388464403232,4.179399932248274,4.1119027200099226e-05,3.123073585806399e-05,5.1007318542134464e-05,0.0,0.0,0.0,81.20017214056325,75.65762781558797,86.74271646553854,0.6,-16.11871871669989,17.318718716699895,-0.7705977674381083,-0.7837849358967813,-0.7574105989794352
S3,1.0,0.05,0.5,5,3.1179613865605886,3.085835670881361,3.150087102239816,2.068568099156349e-05,1.779803163139237e-05,2.3573330351734608e-05,0.0,0.0,0.0,191.27499388826627,175.6882117312204,206.86177604531213,5.4,-1.0279351414639928,11.827935141463993,-0.2700239460474308,-0.2847545444201738,-0.2552933476746878
S30,5.0,0.05,2.0,5,4.652027434931762,4.584408208315155,4.719646661548369,3.916135154461649e-05,2.8740621948436098e-05,4.958208114079688e-05,0.0,0.0,0.0,151.90202186978007,147.8925528129019,155.91149092665825,-2.6,-5.458525190987028,0.2585251909870276,-1.6393399358616718,-1.666048292814359,-1.612631578908985
S31,5.0,0.1,0.1,5,1.939410507650018,1.8810926162395192,1.997728399060517,1.547353831031801e-05,1.372117929350847e-05,1.722589732712755e-05,0.0,0.0,0.0,8.65852989937912,4.704041539693858,12.613018259064384,2.4,-10.491797330943893,15.291797330943892,-0.0491105421212015,-0.1015459539247225,0.0033248696823194
S32,5.0,0.1,0.25,5,1.9833024268983444,1.9374407587340727,2.0291640950626157,1.4703778592792516e-05,1.2927266433117722e-05,1.6480290752467307e-05,0.0,0.0,0.0,19.26176689623502,15.444846474144848,23.07868731832519,2.6,-15.147544440573876,20.34754444057388,-0.1694325461142405,-0.1931972699100547,-0.1456678223184263
S33,5.0,0.1,0.5,5,2.072773661232528,2.0596541803267696,2.0858931421382865,1.3102324467772384e-05,1.0752709921693996e-05,1.5451939013850774e-05,0.0,0.0,0.0,38.68950174535341,36.45343351846255,40.92556997224428,-0.6,-11.795651257724804,10.595651257724803,-0.3777144821222966,-0.3884039470683421,-0.3670250171762511
